agency_id,route_color,route_id,route_long_name,route_short_name,route_text_color,route_type
3,0000ff,10400,Cantalejo ||  Est Toberín,19-12,ffffff,3
3,0000ff,10405,Calle 129 ||  Est. Prado,19-10,ffffff,3
3,0000ff,10407,Calle 167 ||  Est. Toberin,T52,ffffff,3
3,0000ff,10416,Portal Norte ||  Portal Suba,T55,ffffff,3
3,0000ff,10422,Canodromo ||  Estación Prado,19-11,ffffff,3
3,0000ff,10429,Portal Suba ||  Tuna Alta,T08,ffffff,3
3,0000ff,10440,Suba Corpas,C157,ffffff,3
3,0000ff,10442,Bellaflor ||  Paraíso,10-11,ffffff,3
3,0000ff,10449,C146 Est. 21 Ángeles || C146 Casablanca Norte,CC146,ffffff,3
3,0000ff,10454,C160 Est. La Campiña || C160 Orquídeas,CC160,ffffff,3
3,0000ff,10457,San Martín de Loba,661,ffffff,3
3,0000ff,10463,Juan Pablo II ||  Arabia,H638,ffffff,3
3,0000ff,10466,D800 Villa Gladys || L800 Gaviotas,LD800,ffffff,3
3,0000ff,10468,A103 Est. Calle 76 || C103 Portales del Norte,CA103,ffffff,3
3,0000ff,10470,Corpas,C509,ffffff,3
3,0000ff,10479,A507 Chapinero || G507 Metrovivienda,GA507,ffffff,3
3,0000ff,10490,Portales del Norte ||  Est. Alcalá,T53,ffffff,3
3,0000ff,10491,Portales del Norte ||  Est. Alcalá Ciclovía,T53,ffffff,3
3,0000ff,10499,A117 Chapinero || C117 Villa Cindy,CA117,ffffff,3
3,0000ff,10505,B608 Chicó Navarra || H608 Arabia,HB608,ffffff,3
3,0000ff,10506,B608 Chicó Navarra || H608 Arabia Ciclovía,HB608,ffffff,3
3,0000ff,10510,Mochuelo Bajo ||  Paraiso,10-12,ffffff,3
3,0000ff,10525,B100 Est. Alcala || C100 Casablanca Norte,CB100,ffffff,3
3,0000ff,10529,Horacio Orjuela ||  Estación Av. 1 de Mayo,15-3,ffffff,3
3,0000ff,10533,D204 Portal Calle 80 || D204 Gran Granada,DD204,ffffff,3
3,0000ff,10534,Estación Av. 1 de Mayo ||  Estación Bicentenario,L813,ffffff,3
3,0000ff,10535,B631 Avenida Calle 134 Carrera 9 || H631 Paraíso,HB631,ffffff,3
3,0000ff,10537,Calle 222,T11,ffffff,3
3,0000ff,10538,Alpes,T11,ffffff,3
3,0000ff,10539,Alpes Ciclovía,T11,ffffff,3
3,0000ff,10540,G816 Villa Del Rio || L816 Doña Liliana,LG816,ffffff,3
3,0000ff,10541,Porciúncula ||  Metrovivienda,166,ffffff,3
3,0000ff,10550,Metrovivienda,T62,ffffff,3
3,0000ff,10551,CasaBlanca,T62,ffffff,3
3,0000ff,10552,CasaBlanca Ciclovía,T62,ffffff,3
3,0000ff,10555,Sidel ||  Portal 20 de julio,L819,ffffff,3
3,0000ff,10558,Calle 170,C401,ffffff,3
3,0000ff,10564,Lomas ||  Unir,271,ffffff,3
3,0000ff,10571,Portal Usme ||  Puerta al Llano,TC30,ffffff,3
3,0000ff,10575,Mundo Aventura ||  Est. Av. Americas  Av. Boyacá,8-10,ffffff,3
3,0000ff,10577,A809 Marly || L809 Santa Rita Sur Oriental,LA809,ffffff,3
3,0000ff,10578,A809 Marly || L809 Santa Rita Sur Oriental Ciclovía,LA809,ffffff,3
3,0000ff,10580,Bilbao,C156,ffffff,3
3,0000ff,10581,El Recreo,G156,ffffff,3
3,0000ff,10583,Porciúncula ||  Casablanca Norte,E61,ffffff,3
3,0000ff,10584,Porciúncula ||  Calle 100 Ciclovía,E61,ffffff,3
